Q2 - When considering the below options which are would be most likely to make you stay at your current company?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please select the level of importance of why you would STAY at your current organization if this were offered for each of the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager I trust,80%,85%,82%,81%,79%,76%,67%,78%,81%,82%,84%,75%,80%,81%,80%,80%,82%,77%,81%,80%,79%,82%,78%,75%,77%,77%,78%,81%,81%,81%,79%,66%,71%,77%,77%,84%,82%,80%,81%,79%,78%,80%,82%,80%,78%,81%,78%,79%,76%,73%,76%,81%,83%,80%,80%,83%,73%,75%,78%,83%,82%,80%,81%,78%,76%,79%,82%,82%,76%,79%,77%,78%,80%,82%,81%
Flexible work hours,80%,82%,80%,84%,78%,79%,58%,82%,86%,83%,83%,79%,82%,82%,79%,74%,73%,78%,83%,78%,72%,84%,76%,78%,76%,75%,77%,81%,81%,80%,82%,69%,78%,75%,81%,86%,77%,84%,77%,79%,80%,82%,81%,75%,73%,77%,84%,77%,80%,79%,82%,81%,80%,83%,72%,82%,77%,79%,83%,84%,81%,80%,80%,78%,77%,79%,82%,75%,75%,79%,75%,78%,80%,83%,86%
Employer's respect for personal priorities outside of work,79%,81%,81%,84%,78%,77%,52%,82%,86%,86%,84%,79%,82%,82%,78%,73%,73%,80%,82%,78%,71%,82%,77%,76%,73%,75%,76%,80%,81%,80%,79%,63%,76%,77%,76%,85%,81%,86%,81%,81%,80%,79%,81%,75%,78%,85%,84%,79%,76%,77%,72%,80%,82%,79%,74%,78%,74%,75%,82%,85%,82%,77%,80%,78%,76%,79%,82%,76%,69%,79%,75%,78%,80%,82%,81%
Colleagues I work with,79%,79%,80%,78%,79%,83%,68%,77%,73%,80%,83%,75%,78%,80%,80%,78%,83%,76%,79%,79%,80%,81%,77%,73%,76%,75%,77%,80%,81%,80%,79%,64%,68%,80%,76%,81%,78%,78%,81%,83%,78%,80%,83%,80%,69%,81%,86%,77%,72%,75%,78%,80%,77%,76%,80%,78%,74%,74%,78%,81%,81%,79%,78%,78%,76%,79%,81%,77%,78%,77%,75%,80%,79%,81%,76%
Career advancement,76%,78%,71%,88%,78%,70%,47%,85%,90%,87%,76%,76%,83%,81%,74%,60%,55%,79%,82%,72%,56%,77%,76%,68%,69%,72%,75%,78%,77%,79%,67%,60%,69%,75%,79%,86%,78%,83%,74%,77%,79%,77%,77%,76%,77%,60%,82%,75%,76%,70%,67%,71%,79%,78%,70%,75%,72%,71%,80%,86%,83%,79%,78%,68%,71%,77%,80%,69%,64%,72%,70%,72%,77%,83%,80%
Commute to office,76%,78%,77%,77%,82%,78%,61%,70%,77%,70%,76%,70%,75%,78%,79%,76%,73%,71%,77%,78%,75%,80%,73%,70%,73%,76%,74%,77%,78%,77%,75%,63%,69%,73%,76%,78%,75%,76%,79%,74%,76%,79%,80%,77%,71%,74%,75%,74%,73%,77%,78%,74%,75%,75%,75%,77%,73%,73%,77%,80%,75%,76%,75%,76%,73%,78%,78%,77%,69%,76%,75%,76%,75%,78%,76%
Learning and development opportunities,76%,78%,74%,87%,72%,72%,44%,84%,92%,87%,75%,77%,82%,79%,73%,63%,61%,79%,81%,71%,61%,77%,75%,66%,71%,74%,75%,77%,76%,77%,70%,64%,70%,73%,77%,86%,78%,79%,76%,78%,77%,72%,77%,75%,78%,66%,74%,75%,78%,71%,66%,71%,79%,76%,70%,73%,70%,71%,80%,86%,83%,77%,77%,68%,72%,74%,79%,68%,63%,72%,69%,71%,77%,82%,81%
Reputation of the organization,74%,80%,73%,86%,68%,66%,53%,84%,86%,85%,73%,73%,76%,76%,72%,69%,74%,74%,77%,71%,69%,76%,73%,68%,69%,71%,73%,75%,74%,75%,70%,63%,71%,76%,73%,84%,78%,75%,74%,73%,76%,69%,75%,73%,76%,67%,75%,72%,69%,68%,70%,72%,77%,73%,68%,74%,67%,68%,83%,84%,81%,75%,74%,67%,69%,68%,79%,70%,65%,72%,67%,70%,75%,79%,77%
"Workplace policy (i.e. in office, from home, hybrid)",73%,75%,74%,84%,69%,69%,51%,75%,80%,79%,74%,69%,76%,77%,71%,64%,65%,72%,77%,70%,63%,75%,71%,67%,68%,71%,73%,75%,73%,74%,67%,61%,73%,72%,79%,84%,73%,76%,73%,72%,81%,76%,67%,68%,75%,72%,82%,82%,73%,74%,72%,64%,75%,75%,63%,65%,64%,70%,82%,83%,79%,74%,73%,66%,70%,69%,76%,66%,59%,69%,66%,66%,74%,80%,77%
Organizational culture and values,71%,74%,69%,82%,65%,64%,50%,78%,79%,77%,75%,69%,74%,74%,69%,64%,67%,71%,74%,68%,64%,72%,70%,63%,65%,70%,71%,73%,71%,72%,67%,61%,63%,69%,74%,81%,72%,72%,74%,73%,73%,68%,72%,69%,74%,75%,84%,68%,77%,65%,62%,66%,71%,70%,64%,66%,64%,64%,76%,82%,77%,72%,72%,63%,67%,66%,75%,65%,64%,64%,63%,65%,73%,78%,75%
Organizational purpose and mission,69%,72%,68%,81%,66%,61%,51%,77%,76%,79%,67%,67%,71%,72%,67%,64%,67%,68%,72%,67%,64%,69%,69%,60%,65%,66%,69%,72%,69%,70%,64%,57%,64%,69%,71%,80%,70%,74%,71%,70%,71%,65%,69%,68%,72%,73%,70%,72%,69%,64%,65%,63%,71%,67%,63%,65%,58%,62%,78%,81%,79%,70%,70%,59%,64%,64%,74%,63%,62%,64%,62%,62%,70%,76%,75%
"Social responsibility (e.g., societal justice, community outreach) policies and practices",64%,62%,58%,80%,63%,59%,48%,75%,76%,78%,60%,65%,68%,67%,62%,57%,53%,67%,67%,61%,54%,65%,64%,57%,61%,67%,67%,67%,62%,65%,59%,57%,64%,66%,69%,76%,66%,69%,66%,60%,67%,58%,63%,63%,68%,66%,68%,58%,58%,62%,57%,59%,67%,65%,57%,58%,57%,59%,74%,79%,74%,66%,64%,54%,60%,59%,69%,54%,54%,60%,57%,58%,65%,72%,71%
Inclusive policies and practices,64%,66%,67%,79%,56%,52%,35%,69%,74%,69%,68%,66%,69%,66%,59%,53%,52%,68%,68%,58%,51%,66%,61%,57%,59%,63%,67%,66%,62%,64%,61%,54%,59%,63%,67%,76%,65%,68%,66%,56%,67%,57%,63%,59%,68%,69%,63%,56%,65%,58%,53%,62%,67%,66%,54%,59%,54%,56%,71%,78%,71%,63%,64%,54%,60%,58%,68%,56%,53%,61%,54%,57%,65%,71%,68%
Environmental sustainability policies and practices,61%,62%,57%,79%,57%,51%,43%,71%,74%,71%,56%,63%,65%,64%,57%,52%,51%,64%,65%,56%,51%,60%,61%,54%,58%,62%,65%,65%,58%,62%,56%,54%,58%,61%,67%,74%,66%,66%,60%,57%,63%,50%,58%,61%,68%,52%,49%,49%,57%,58%,55%,55%,68%,64%,56%,58%,49%,56%,72%,78%,69%,62%,63%,49%,56%,53%,66%,52%,43%,58%,54%,53%,61%,69%,68%
"Use of advanced technologies (e.g., AI, automation)",59%,60%,49%,85%,53%,56%,38%,73%,74%,73%,47%,59%,64%,63%,56%,45%,43%,61%,64%,54%,42%,55%,63%,49%,52%,62%,63%,65%,55%,61%,47%,53%,53%,62%,63%,82%,65%,64%,54%,55%,65%,48%,51%,58%,68%,37%,47%,53%,64%,55%,56%,49%,65%,65%,51%,47%,50%,51%,73%,80%,73%,62%,61%,41%,53%,48%,66%,46%,38%,50%,49%,51%,60%,70%,69%
Visa sponsorship / immigration assistance from an employer,48%,44%,38%,72%,40%,43%,35%,78%,59%,66%,37%,53%,55%,52%,42%,32%,31%,54%,53%,40%,29%,44%,51%,39%,41%,54%,51%,54%,43%,49%,39%,47%,46%,57%,53%,67%,56%,51%,43%,41%,53%,33%,41%,45%,62%,27%,37%,39%,45%,42%,46%,39%,53%,52%,39%,38%,40%,42%,62%,69%,59%,49%,50%,31%,44%,36%,54%,31%,34%,42%,39%,39%,49%,57%,55%
Other,4%,4%,2%,7%,3%,4%,5%,6%,5%,5%,2%,6%,4%,4%,4%,4%,3%,6%,4%,4%,4%,4%,5%,6%,6%,5%,5%,4%,4%,4%,5%,10%,6%,7%,8%,5%,5%,4%,4%,4%,4%,4%,3%,3%,4%,5%,5%,5%,4%,2%,5%,3%,4%,5%,4%,5%,4%,4%,6%,4%,4%,4%,5%,4%,5%,3%,4%,3%,4%,5%,5%,4%,4%,4%,4%
