Q8 - To what extent do you agree with the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaders at my organization are often not aligned,43%,48%,42%,54%,41%,39%,30%,44%,42%,37%,46%,48%,47%,46%,42%,33%,29%,48%,46%,41%,30%,42%,45%,32%,40%,46%,47%,48%,43%,44%,40%,42%,36%,51%,46%,51%,41%,42%,42%,39%,47%,44%,43%,42%,52%,37%,38%,37%,42%,38%,39%,42%,45%,48%,39%,41%,37%,36%,43%,50%,48%,45%,46%,37%,43%,41%,45%,36%,34%,41%,42%,41%,43%,48%,40%
I feel recent changes in senior leadership has negatively impacted the operations at our firm,41%,43%,35%,56%,39%,37%,22%,46%,37%,45%,41%,48%,45%,43%,38%,28%,24%,47%,44%,37%,25%,38%,43%,27%,34%,45%,44%,47%,39%,42%,36%,34%,32%,51%,44%,51%,36%,40%,39%,36%,45%,37%,38%,39%,52%,31%,38%,23%,42%,35%,34%,36%,46%,47%,37%,37%,37%,33%,47%,50%,47%,42%,42%,31%,39%,36%,44%,31%,27%,37%,37%,36%,40%,47%,42%
I am stretched too far beyond my capabilities at work,40%,42%,33%,61%,36%,39%,24%,43%,43%,38%,40%,46%,46%,43%,38%,27%,22%,46%,44%,36%,24%,39%,42%,34%,36%,44%,44%,46%,38%,42%,35%,40%,34%,46%,40%,53%,39%,35%,39%,35%,46%,32%,39%,37%,52%,33%,29%,39%,26%,40%,39%,39%,43%,46%,34%,34%,33%,34%,47%,52%,47%,41%,43%,31%,40%,35%,43%,31%,31%,36%,35%,36%,40%,48%,42%
I feel that I am overlooked for leadership roles because of my age.,38%,42%,32%,58%,30%,32%,23%,44%,38%,43%,39%,52%,45%,37%,33%,28%,28%,51%,40%,31%,29%,35%,41%,30%,35%,47%,42%,44%,35%,39%,34%,42%,37%,48%,43%,52%,38%,38%,35%,35%,42%,28%,33%,36%,51%,30%,26%,28%,36%,34%,33%,37%,43%,43%,30%,35%,33%,31%,44%,51%,45%,39%,40%,28%,39%,32%,41%,27%,30%,34%,31%,33%,39%,45%,39%
I frequently doubt my ability to fulfill my work responsibilities.,36%,38%,32%,54%,30%,31%,28%,40%,33%,39%,37%,47%,43%,38%,33%,20%,17%,46%,40%,30%,18%,34%,38%,29%,34%,44%,41%,42%,33%,37%,33%,42%,34%,43%,43%,50%,35%,33%,36%,30%,40%,30%,32%,32%,50%,27%,29%,42%,38%,35%,37%,31%,40%,43%,26%,27%,31%,31%,41%,47%,43%,38%,38%,27%,37%,31%,39%,22%,22%,32%,32%,30%,37%,43%,37%
I feel that I am overlooked for training because of my age,36%,41%,30%,55%,29%,32%,22%,44%,35%,39%,36%,48%,41%,36%,32%,29%,24%,46%,38%,31%,28%,33%,39%,29%,35%,46%,44%,42%,32%,37%,33%,37%,34%,45%,42%,49%,36%,39%,35%,30%,38%,26%,30%,36%,51%,27%,25%,32%,28%,33%,33%,35%,40%,41%,28%,34%,32%,29%,44%,47%,43%,39%,38%,26%,36%,28%,39%,28%,24%,34%,31%,31%,37%,42%,38%
"I feel that I am overlooked for promotions, pay rises, or leadership training because of my class.",36%,39%,29%,56%,28%,33%,22%,44%,36%,42%,32%,45%,42%,38%,31%,21%,20%,44%,39%,30%,18%,31%,40%,25%,34%,44%,42%,42%,32%,37%,29%,37%,33%,46%,39%,51%,36%,33%,31%,31%,40%,25%,29%,34%,57%,24%,21%,23%,36%,35%,38%,32%,39%,40%,26%,29%,32%,29%,43%,48%,44%,39%,37%,24%,35%,27%,39%,24%,20%,31%,29%,29%,36%,43%,38%
"I feel that I am overlooked for promotions, pay rises, or leadership training because of my sex.",35%,37%,25%,51%,37%,33%,20%,39%,34%,38%,34%,43%,41%,37%,33%,21%,16%,43%,38%,31%,18%,33%,37%,27%,34%,40%,42%,42%,32%,36%,29%,37%,30%,44%,41%,48%,35%,36%,29%,31%,42%,27%,30%,34%,48%,21%,22%,25%,35%,33%,29%,31%,36%,44%,28%,31%,27%,31%,43%,48%,43%,38%,36%,25%,35%,29%,38%,25%,24%,32%,32%,29%,34%,42%,36%
"I feel that I am overlooked for promotions, pay rises, or leadership training because of my race.",33%,39%,26%,56%,24%,29%,19%,46%,32%,40%,29%,42%,40%,36%,29%,17%,14%,43%,38%,27%,14%,28%,38%,25%,31%,41%,40%,40%,29%,34%,27%,39%,26%,43%,36%,48%,33%,32%,29%,28%,40%,23%,26%,32%,51%,17%,21%,23%,31%,31%,32%,29%,35%,42%,25%,28%,30%,27%,42%,48%,44%,35%,35%,20%,33%,23%,37%,20%,18%,28%,26%,26%,34%,42%,34%
I struggle with imposter syndrome,32%,35%,31%,46%,32%,25%,14%,29%,30%,26%,39%,43%,39%,34%,30%,17%,13%,42%,36%,27%,14%,31%,33%,27%,27%,39%,38%,37%,30%,33%,28%,35%,32%,40%,31%,44%,31%,36%,32%,28%,36%,28%,30%,26%,47%,31%,32%,37%,39%,31%,22%,28%,32%,37%,21%,31%,27%,26%,40%,43%,38%,34%,33%,24%,33%,30%,34%,19%,18%,28%,28%,25%,32%,40%,38%
I share negative reviews about my employer on social media or review sites (such as Glassdoor),28%,32%,20%,46%,23%,27%,18%,34%,27%,38%,25%,36%,35%,31%,24%,15%,13%,37%,32%,23%,12%,23%,33%,25%,26%,36%,33%,35%,24%,30%,22%,33%,24%,37%,32%,43%,31%,29%,23%,23%,34%,19%,20%,29%,48%,15%,19%,19%,22%,26%,27%,23%,35%,36%,22%,22%,20%,23%,39%,44%,39%,30%,30%,16%,28%,21%,32%,15%,17%,24%,23%,23%,28%,36%,31%
