QUESTION,RESPONSE,age_18-24,age_25-34,age_35-44,age_45-54,age_55-65,gender_female,gender_male,region_north,region_northeast,region_central_west,region_southeast,region_south,employment_status_full_time,employment_status_part_time,employment_status_self_employed,org_size_fewer_than_10,org_size_10_to_49,org_size_50_to_99,org_size_100_to_249,org_size_250_to_499,org_size_500_to_999,org_size_1000_or_more,sector_business_administration,sector_technology,sector_education,sector_financial_services,sector_government,sector_marketing_services,sector_retail,sector_telecommunications,sector_other,job_level_CEO,job_level_senior_executive,job_level_senior_leader,job_level_mid_level_leader,job_level_first_level_supervisor,job_level_individual_contributor,education_secondary,education_tertiary,education_undergraduate,education_postgraduate,education_doctorate
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Excellent sustainability policies and practices within the company,10%,12%,12%,12%,25%,12%,13%,7%,16%,10%,14%,9%,14%,11%,11%,8%,14%,13%,13%,17%,15%,15%,15%,15%,22%,16%,11%,17%,4%,20%,8%,10%,18%,12%,8%,15%,13%,10%,14%,14%,14%,13%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Plentiful opportunities for lateral moves and trying new things,15%,13%,12%,13%,16%,16%,10%,16%,16%,9%,13%,9%,11%,15%,17%,15%,11%,14%,16%,16%,14%,7%,15%,13%,13%,10%,9%,14%,17%,23%,14%,14%,11%,10%,10%,14%,14%,13%,14%,14%,12%,21%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Excellent diversity and inclusion within the company,13%,16%,12%,10%,12%,14%,12%,9%,12%,10%,14%,13%,14%,13%,9%,9%,11%,12%,10%,14%,22%,15%,15%,16%,16%,18%,2%,9%,6%,3%,12%,12%,16%,19%,15%,10%,11%,8%,10%,11%,15%,24%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Colleagues I enjoy working with,11%,11%,11%,13%,17%,12%,11%,11%,10%,9%,13%,11%,12%,9%,13%,9%,14%,13%,9%,10%,12%,15%,4%,10%,22%,8%,24%,17%,14%,17%,14%,10%,13%,12%,12%,9%,14%,10%,13%,11%,12%,21%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Status and respect for my position in the company,9%,9%,11%,12%,11%,10%,11%,9%,14%,12%,10%,8%,12%,11%,7%,8%,10%,9%,11%,14%,15%,10%,8%,10%,10%,12%,7%,11%,13%,7%,12%,9%,21%,10%,9%,13%,6%,11%,9%,10%,10%,21%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Brand is well-known and respected,10%,11%,8%,9%,13%,8%,11%,11%,10%,9%,10%,9%,9%,10%,11%,9%,9%,11%,11%,13%,7%,10%,7%,10%,9%,6%,9%,6%,13%,10%,12%,9%,14%,9%,13%,8%,8%,11%,5%,8%,10%,5%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Full-time in the office,10%,10%,10%,8%,7%,8%,10%,7%,11%,14%,8%,9%,11%,5%,3%,6%,7%,15%,13%,10%,12%,9%,10%,13%,9%,10%,7%,6%,6%,3%,10%,12%,8%,16%,12%,8%,6%,9%,10%,8%,8%,21%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Low number of recent layoffs,7%,10%,9%,8%,11%,8%,10%,11%,9%,6%,9%,8%,9%,11%,7%,6%,12%,13%,9%,6%,10%,9%,7%,10%,13%,10%,4%,3%,7%,13%,12%,7%,9%,6%,15%,10%,8%,7%,12%,12%,8%,11%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Hiring manager I respect and trust,11%,8%,9%,7%,8%,8%,9%,4%,9%,11%,9%,5%,10%,5%,6%,7%,5%,6%,14%,10%,8%,12%,9%,11%,4%,4%,13%,17%,9%,20%,4%,6%,10%,9%,9%,13%,6%,11%,4%,6%,9%,8%
"1. If you were to look for a new job, what are the most important things a new employer / role could offer you?",Other (please specify),,,1%,,1%,1%,0%,,1%,,1%,,0%,,1%,1%,1%,,1%,,,,,,,,,,,,2%,2%,,,,0%,,0%,,,1%,
2. When considering the below options which are most likely to make you stay at your current company?,Generous salary / compensation,34%,44%,44%,41%,51%,43%,43%,36%,41%,42%,43%,48%,43%,37%,47%,41%,42%,35%,45%,46%,44%,49%,39%,48%,47%,47%,49%,37%,46%,60%,42%,39%,36%,41%,39%,45%,49%,37%,42%,42%,47%,42%
2. When considering the below options which are most likely to make you stay at your current company?,Total flexibility of working hours,27%,27%,30%,33%,34%,33%,27%,22%,28%,22%,31%,34%,25%,32%,42%,39%,25%,23%,32%,26%,25%,28%,28%,33%,32%,27%,24%,37%,30%,33%,35%,39%,30%,32%,31%,24%,28%,25%,22%,38%,31%,26%
2. When considering the below options which are most likely to make you stay at your current company?,Excellent learning and development opportunities,20%,26%,32%,32%,38%,30%,29%,29%,26%,23%,33%,25%,31%,20%,29%,25%,30%,29%,27%,30%,36%,31%,24%,33%,35%,25%,22%,26%,32%,33%,30%,31%,32%,33%,19%,29%,30%,22%,22%,26%,35%,32%
2. When considering the below options which are most likely to make you stay at your current company?,High job security (of employment contract),23%,25%,26%,24%,26%,24%,26%,36%,28%,25%,26%,15%,28%,25%,14%,15%,21%,28%,25%,36%,34%,30%,20%,32%,31%,27%,33%,14%,33%,17%,20%,18%,37%,22%,24%,31%,21%,21%,22%,19%,29%,29%
2. When considering the below options which are most likely to make you stay at your current company?,Clear career advancement opportunities and processes,27%,24%,24%,25%,29%,26%,23%,22%,24%,26%,25%,23%,26%,24%,21%,18%,22%,20%,29%,33%,20%,37%,25%,25%,34%,31%,18%,17%,29%,33%,28%,18%,26%,31%,19%,27%,26%,22%,25%,28%,24%,29%
2. When considering the below options which are most likely to make you stay at your current company?,Colleagues I enjoy working with,18%,22%,18%,16%,25%,18%,20%,13%,22%,17%,19%,20%,20%,21%,16%,15%,25%,21%,15%,21%,20%,20%,19%,17%,31%,12%,33%,26%,13%,13%,17%,15%,15%,14%,25%,22%,21%,17%,23%,23%,19%,13%
2. When considering the below options which are most likely to make you stay at your current company?,Status and respect for my position in the company,12%,22%,16%,19%,18%,20%,17%,20%,22%,25%,17%,15%,18%,22%,18%,17%,15%,18%,21%,20%,20%,22%,18%,21%,15%,16%,18%,17%,26%,13%,20%,25%,20%,23%,16%,20%,13%,13%,18%,16%,22%,26%
2. When considering the below options which are most likely to make you stay at your current company?,Full-time remote working,20%,16%,19%,16%,16%,20%,15%,11%,19%,14%,18%,17%,16%,10%,26%,23%,11%,15%,16%,20%,17%,16%,14%,19%,15%,16%,13%,37%,14%,33%,19%,24%,17%,9%,17%,16%,18%,19%,22%,17%,17%,11%
2. When considering the below options which are most likely to make you stay at your current company?,Hybrid working options,13%,16%,18%,16%,26%,17%,17%,9%,15%,19%,19%,17%,18%,13%,17%,16%,14%,17%,16%,10%,20%,23%,12%,21%,22%,27%,16%,17%,14%,20%,21%,21%,14%,23%,16%,16%,15%,11%,14%,18%,21%,13%
2. When considering the below options which are most likely to make you stay at your current company?,To be a part of a culture and value system that I respect,12%,15%,18%,20%,18%,18%,16%,24%,17%,16%,15%,21%,17%,16%,17%,15%,17%,13%,13%,20%,22%,20%,14%,17%,13%,20%,11%,11%,25%,10%,17%,14%,23%,25%,16%,16%,15%,14%,14%,19%,18%,26%
2. When considering the below options which are most likely to make you stay at your current company?,Excellent sustainability policies and practices within the company,4%,17%,15%,15%,24%,15%,16%,22%,18%,14%,15%,12%,15%,15%,16%,12%,17%,16%,11%,16%,19%,18%,25%,16%,13%,12%,16%,20%,14%,17%,10%,19%,23%,17%,12%,15%,11%,14%,13%,14%,17%,21%
2. When considering the below options which are most likely to make you stay at your current company?,Short commute to office,17%,13%,15%,17%,16%,16%,14%,27%,11%,11%,16%,14%,15%,16%,14%,13%,16%,13%,22%,16%,18%,13%,17%,14%,15%,18%,27%,9%,10%,17%,14%,13%,13%,15%,12%,13%,20%,10%,21%,15%,16%,16%
2. When considering the below options which are most likely to make you stay at your current company?,Generous non-financial benefits,15%,11%,16%,17%,17%,14%,16%,9%,14%,11%,16%,15%,15%,11%,17%,13%,19%,14%,16%,13%,19%,12%,7%,13%,21%,25%,13%,20%,17%,13%,20%,12%,13%,13%,15%,15%,17%,17%,10%,16%,13%,24%
2. When considering the below options which are most likely to make you stay at your current company?,Excellent diversity and inclusion within the company,12%,13%,15%,10%,16%,13%,14%,11%,15%,4%,15%,13%,14%,11%,12%,9%,11%,13%,23%,19%,19%,13%,14%,16%,6%,16%,11%,11%,9%,13%,19%,18%,20%,13%,9%,13%,11%,13%,13%,13%,14%,21%
2. When considering the below options which are most likely to make you stay at your current company?,Low number of recent layoffs,10%,13%,11%,17%,14%,13%,13%,9%,13%,10%,13%,15%,14%,12%,9%,10%,15%,12%,15%,13%,11%,16%,20%,10%,19%,8%,13%,11%,10%,10%,17%,11%,10%,15%,16%,13%,14%,12%,13%,11%,14%,13%
2. When considering the below options which are most likely to make you stay at your current company?,Manager I respect and trust,16%,11%,12%,14%,11%,13%,12%,9%,9%,14%,12%,17%,14%,15%,7%,11%,15%,8%,11%,13%,8%,18%,12%,11%,18%,16%,4%,11%,7%,13%,13%,6%,10%,14%,12%,16%,14%,13%,6%,13%,13%,8%
2. When considering the below options which are most likely to make you stay at your current company?,Brand is well known and respected,7%,12%,12%,13%,11%,10%,13%,11%,13%,17%,10%,13%,13%,11%,9%,6%,15%,7%,9%,21%,18%,13%,10%,16%,15%,6%,11%,,12%,10%,12%,9%,14%,13%,18%,12%,10%,13%,10%,12%,11%,16%
2. When considering the below options which are most likely to make you stay at your current company?,Full-time in the office,10%,11%,11%,8%,11%,10%,11%,2%,11%,12%,11%,9%,11%,7%,9%,8%,11%,7%,9%,11%,14%,11%,8%,11%,7%,8%,7%,14%,13%,10%,12%,9%,14%,14%,14%,10%,6%,12%,9%,9%,10%,16%
2. When considering the below options which are most likely to make you stay at your current company?,Other (please specify),1%,0%,1%,1%,3%,1%,1%,,,,1%,1%,1%,,1%,2%,1%,,,,,,,,,2%,,,,,1%,2%,,,1%,,1%,1%,,1%,1%,
"3. When considering the below options, which are most likely to make you leave your current company?",Low salary / compensation,32%,41%,44%,51%,53%,46%,42%,36%,37%,42%,46%,50%,44%,38%,47%,47%,42%,39%,41%,50%,38%,46%,38%,46%,56%,47%,44%,37%,49%,57%,42%,41%,38%,42%,48%,40%,51%,35%,48%,49%,47%,29%
"3. When considering the below options, which are most likely to make you leave your current company?",Lack of career advancement opportunities,34%,37%,39%,34%,38%,39%,35%,38%,36%,20%,40%,36%,38%,34%,36%,36%,33%,26%,33%,53%,36%,43%,38%,41%,41%,39%,33%,29%,43%,40%,33%,32%,34%,39%,32%,33%,44%,37%,38%,38%,37%,34%
"3. When considering the below options, which are most likely to make you leave your current company?",Inadequate non-financial benefits,17%,24%,32%,29%,28%,28%,26%,24%,26%,20%,28%,29%,26%,21%,32%,24%,28%,24%,23%,31%,29%,31%,24%,29%,34%,29%,18%,34%,29%,47%,30%,23%,27%,24%,32%,29%,28%,23%,29%,26%,30%,21%
"3. When considering the below options, which are most likely to make you leave your current company?",Lack of job security (employment contract),15%,28%,24%,24%,29%,23%,26%,24%,27%,26%,26%,18%,26%,23%,23%,21%,24%,21%,27%,26%,31%,27%,26%,25%,32%,27%,20%,31%,26%,27%,25%,28%,28%,31%,27%,20%,22%,20%,14%,27%,28%,24%
"3. When considering the below options, which are most likely to make you leave your current company?",Inflexible working hours policy,24%,16%,23%,27%,24%,24%,20%,18%,17%,25%,25%,19%,21%,27%,23%,21%,21%,17%,26%,23%,26%,22%,15%,22%,32%,25%,33%,20%,17%,30%,22%,22%,23%,30%,21%,21%,20%,19%,18%,26%,22%,29%
"3. When considering the below options, which are most likely to make you leave your current company?",Long or difficult commute to office,17%,23%,20%,25%,22%,25%,19%,16%,19%,30%,22%,21%,22%,24%,20%,20%,22%,22%,23%,20%,19%,25%,21%,18%,16%,27%,38%,17%,26%,23%,23%,19%,18%,13%,19%,27%,25%,20%,21%,24%,22%,16%
"3. When considering the below options, which are most likely to make you leave your current company?",Poor company culture or values,15%,22%,22%,20%,21%,21%,21%,20%,20%,17%,22%,19%,21%,14%,22%,21%,17%,16%,25%,20%,27%,21%,20%,20%,26%,16%,11%,26%,25%,23%,23%,21%,26%,22%,17%,23%,18%,17%,21%,22%,22%,29%
"3. When considering the below options, which are most likely to make you leave your current company?",Inadequate learning and development opportunities,27%,19%,19%,21%,18%,21%,20%,31%,18%,22%,20%,19%,20%,25%,17%,19%,19%,19%,19%,20%,27%,20%,22%,20%,21%,31%,16%,20%,17%,17%,21%,19%,25%,29%,16%,17%,19%,20%,21%,21%,20%,24%
"3. When considering the below options, which are most likely to make you leave your current company?",High number of recent layoffs,17%,16%,16%,18%,14%,16%,17%,18%,18%,20%,17%,12%,17%,16%,15%,12%,15%,13%,23%,14%,25%,18%,17%,20%,21%,16%,13%,9%,16%,17%,19%,11%,18%,22%,17%,15%,18%,19%,13%,18%,15%,24%
"3. When considering the below options, which are most likely to make you leave your current company?",Lack of diversity and inclusion within the company,13%,21%,12%,18%,14%,16%,16%,16%,17%,15%,17%,14%,16%,19%,16%,16%,13%,16%,14%,23%,16%,19%,17%,20%,16%,12%,13%,14%,17%,20%,17%,16%,21%,20%,17%,13%,15%,17%,12%,14%,17%,29%
"3. When considering the below options, which are most likely to make you leave your current company?",Full-time in-office attendance is being mandated,16%,16%,18%,16%,12%,17%,15%,7%,17%,19%,15%,21%,16%,15%,16%,14%,19%,17%,16%,17%,10%,19%,15%,15%,22%,22%,13%,20%,12%,20%,17%,17%,17%,11%,12%,20%,16%,15%,8%,18%,16%,32%
"3. When considering the below options, which are most likely to make you leave your current company?",No allowance for full-time remote working,16%,14%,17%,16%,9%,16%,14%,11%,11%,17%,17%,15%,15%,19%,13%,13%,19%,12%,19%,11%,14%,17%,16%,18%,15%,8%,22%,20%,10%,13%,16%,15%,18%,17%,16%,15%,13%,16%,12%,15%,15%,16%
"3. When considering the below options, which are most likely to make you leave your current company?",Personal challenges with colleagues or manager,20%,14%,16%,12%,8%,15%,13%,13%,18%,10%,13%,17%,15%,14%,12%,17%,14%,16%,19%,10%,11%,12%,11%,14%,15%,14%,9%,20%,20%,17%,15%,16%,14%,16%,12%,14%,14%,13%,16%,16%,15%,8%
"3. When considering the below options, which are most likely to make you leave your current company?",Poor sustainability policies and practices within the company,6%,11%,11%,11%,12%,10%,12%,4%,12%,7%,11%,13%,13%,7%,5%,5%,13%,9%,12%,17%,11%,15%,15%,15%,12%,8%,11%,9%,9%,7%,9%,7%,13%,14%,16%,11%,9%,7%,8%,13%,12%,18%
"3. When considering the below options, which are most likely to make you leave your current company?",Employer will relocate to a different area,10%,9%,11%,10%,13%,8%,12%,7%,11%,9%,10%,11%,11%,7%,7%,6%,14%,9%,12%,11%,12%,9%,15%,9%,6%,8%,11%,11%,13%,20%,9%,8%,15%,11%,15%,10%,7%,12%,8%,11%,9%,8%
"3. When considering the below options, which are most likely to make you leave your current company?",Lack of affordable childcare during working hours,7%,8%,10%,3%,7%,7%,8%,9%,9%,7%,8%,5%,9%,10%,4%,3%,8%,8%,10%,17%,12%,6%,15%,8%,6%,8%,11%,6%,7%,3%,7%,12%,8%,10%,9%,6%,5%,7%,8%,8%,8%,11%
"3. When considering the below options, which are most likely to make you leave your current company?",Other (please specify),1%,1%,2%,1%,7%,2%,2%,2%,2%,2%,2%,1%,1%,,3%,3%,2%,1%,,,,2%,,1%,,4%,,3%,1%,3%,2%,4%,,1%,1%,1%,2%,3%,3%,1%,1%,3%
4. To what extent do you agree or disagree with the following statements? - The values a company promotes are extremely important to me,NET: Agree,70%,83%,82%,84%,87%,87%,77%,78%,85%,77%,83%,79%,81%,82%,86%,84%,83%,82%,74%,90%,90%,75%,82%,83%,85%,84%,64%,89%,87%,90%,83%,86%,78%,79%,79%,86%,81%,83%,79%,80%,83%,84%
4. To what extent do you agree or disagree with the following statements? - The values a company promotes are extremely important to me,NET: Disagree,13%,4%,4%,3%,5%,3%,6%,9%,5%,9%,4%,3%,5%,7%,3%,4%,4%,9%,8%,3%,2%,4%,7%,4%,3%,,4%,,3%,,4%,6%,7%,7%,4%,2%,5%,4%,8%,6%,4%,5%
4. To what extent do you agree or disagree with the following statements? - The ability to work flexibly and from wherever I want is critical to my work-life balance,NET: Agree,80%,83%,82%,80%,75%,85%,78%,87%,81%,78%,82%,77%,81%,75%,86%,86%,84%,77%,75%,81%,81%,78%,84%,83%,85%,73%,64%,89%,86%,83%,82%,88%,79%,75%,79%,83%,80%,84%,81%,76%,82%,82%
4. To what extent do you agree or disagree with the following statements? - The ability to work flexibly and from wherever I want is critical to my work-life balance,NET: Disagree,6%,6%,4%,6%,8%,5%,6%,4%,6%,6%,5%,5%,6%,9%,4%,4%,6%,8%,7%,6%,3%,7%,5%,3%,7%,8%,9%,,3%,7%,7%,4%,9%,11%,4%,4%,5%,6%,6%,7%,5%,8%
4. To what extent do you agree or disagree with the following statements? - It is important that a company understands the importance of the benefits that come alongside a salary,NET: Agree,78%,88%,88%,87%,91%,91%,83%,87%,86%,78%,89%,88%,89%,82%,86%,87%,88%,81%,81%,96%,92%,88%,90%,89%,85%,76%,84%,83%,94%,90%,86%,87%,81%,85%,83%,93%,89%,86%,91%,85%,89%,84%
4. To what extent do you agree or disagree with the following statements? - It is important that a company understands the importance of the benefits that come alongside a salary,NET: Disagree,6%,2%,2%,3%,1%,1%,4%,2%,3%,7%,2%,2%,2%,5%,3%,3%,2%,8%,4%,,2%,2%,3%,3%,,4%,4%,3%,,3%,4%,2%,4%,7%,2%,2%,2%,4%,1%,5%,2%,3%
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it paid me the salary I want, even if I hated the role",NET: Agree,55%,59%,57%,49%,41%,54%,56%,53%,60%,60%,52%,53%,57%,58%,46%,48%,55%,53%,59%,60%,63%,55%,57%,60%,59%,59%,33%,49%,57%,57%,47%,55%,63%,52%,51%,59%,50%,57%,43%,53%,56%,58%
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it paid me the salary I want, even if I hated the role",NET: Disagree,26%,23%,25%,31%,42%,30%,24%,31%,24%,20%,28%,30%,24%,27%,37%,33%,25%,27%,18%,27%,21%,27%,26%,25%,22%,22%,31%,37%,30%,23%,30%,30%,21%,29%,26%,25%,29%,23%,43%,26%,26%,32%
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it allowed me flexibility, even if I hated the role",NET: Agree,49%,61%,57%,48%,43%,55%,54%,51%,59%,64%,53%,51%,56%,55%,50%,53%,54%,53%,58%,47%,67%,53%,62%,60%,53%,57%,40%,46%,58%,50%,46%,59%,63%,49%,61%,59%,46%,60%,44%,53%,54%,61%
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it allowed me flexibility, even if I hated the role",NET: Disagree,28%,22%,24%,29%,43%,29%,24%,36%,23%,19%,27%,28%,24%,25%,33%,32%,28%,24%,24%,29%,17%,24%,21%,23%,26%,22%,31%,29%,29%,13%,36%,25%,22%,30%,22%,24%,31%,20%,40%,27%,26%,32%
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it granted me opportunities to progress and upskill quickly, even if I hated the current role",NET: Agree,76%,72%,69%,68%,58%,67%,72%,76%,73%,67%,68%,69%,71%,74%,63%,68%,70%,67%,73%,67%,82%,64%,73%,72%,66%,73%,58%,71%,65%,77%,64%,68%,80%,68%,68%,69%,67%,72%,70%,66%,69%,74%
"4. To what extent do you agree or disagree with the following statements? - I would stay at a job if it granted me opportunities to progress and upskill quickly, even if I hated the current role",NET: Disagree,12%,11%,16%,20%,29%,21%,11%,13%,13%,9%,18%,18%,14%,22%,20%,20%,17%,18%,10%,17%,8%,16%,15%,15%,16%,20%,16%,14%,17%,3%,20%,19%,10%,14%,15%,15%,18%,15%,18%,16%,16%,16%
4. To what extent do you agree or disagree with the following statements? - I feel supported and encouraged to learn new skills and work on my own professional development,NET: Agree,74%,79%,76%,76%,71%,80%,73%,78%,78%,74%,76%,74%,75%,70%,82%,76%,77%,75%,74%,77%,81%,75%,76%,86%,76%,71%,58%,77%,81%,67%,75%,82%,82%,76%,69%,80%,70%,76%,73%,73%,77%,87%
4. To what extent do you agree or disagree with the following statements? - I feel supported and encouraged to learn new skills and work on my own professional development,NET: Disagree,11%,7%,7%,11%,8%,10%,7%,13%,5%,6%,8%,11%,9%,8%,5%,9%,10%,7%,7%,14%,4%,7%,8%,3%,10%,12%,13%,11%,9%,10%,8%,5%,5%,10%,9%,6%,12%,9%,19%,9%,6%,3%
4. To what extent do you agree or disagree with the following statements? - I feel confident I could easily find a new role if I left my current company in the next few months,NET: Agree,56%,71%,68%,65%,57%,66%,68%,64%,74%,69%,65%,62%,70%,58%,61%,61%,69%,63%,76%,71%,75%,63%,73%,73%,59%,53%,47%,71%,72%,57%,60%,67%,78%,74%,63%,69%,59%,67%,65%,65%,67%,76%
4. To what extent do you agree or disagree with the following statements? - I feel confident I could easily find a new role if I left my current company in the next few months,NET: Disagree,18%,10%,11%,15%,16%,13%,11%,11%,10%,14%,12%,17%,11%,16%,15%,15%,10%,20%,12%,4%,5%,14%,7%,9%,12%,14%,27%,9%,12%,7%,20%,13%,9%,7%,15%,12%,15%,11%,16%,14%,12%,11%
4. To what extent do you agree or disagree with the following statements? - I feel excited and positive about how emerging technologies like AI will change the way I work,NET: Agree,65%,72%,72%,71%,68%,70%,72%,76%,73%,60%,72%,67%,71%,75%,70%,67%,72%,67%,65%,86%,78%,70%,73%,81%,60%,65%,62%,80%,70%,70%,71%,76%,74%,75%,74%,74%,61%,69%,74%,66%,72%,84%
4. To what extent do you agree or disagree with the following statements? - I feel excited and positive about how emerging technologies like AI will change the way I work,NET: Disagree,16%,10%,9%,6%,8%,11%,8%,13%,7%,10%,9%,10%,9%,9%,10%,12%,8%,14%,10%,3%,5%,9%,4%,7%,15%,10%,11%,9%,9%,13%,8%,8%,8%,7%,9%,8%,12%,9%,14%,10%,8%,11%
4. To what extent do you agree or disagree with the following statements? - I think using AI in my role will bolster my value in the next three years,NET: Agree,54%,61%,68%,62%,51%,62%,62%,58%,67%,63%,62%,54%,64%,59%,57%,55%,57%,58%,67%,71%,66%,70%,65%,77%,53%,53%,47%,66%,65%,70%,58%,69%,70%,66%,64%,64%,50%,62%,58%,55%,64%,74%
4. To what extent do you agree or disagree with the following statements? - I think using AI in my role will bolster my value in the next three years,NET: Disagree,18%,16%,9%,13%,17%,14%,12%,22%,15%,16%,11%,16%,12%,16%,16%,17%,16%,11%,11%,7%,10%,11%,11%,8%,19%,18%,13%,14%,12%,13%,14%,14%,9%,7%,10%,12%,19%,13%,17%,14%,13%,8%
4. To what extent do you agree or disagree with the following statements? - I feel certain that my role will be replaced by AI/tech in the next three years,NET: Agree,37%,40%,43%,36%,26%,38%,39%,42%,42%,35%,40%,32%,40%,44%,33%,34%,43%,42%,45%,31%,45%,36%,45%,38%,32%,45%,18%,40%,45%,40%,33%,46%,48%,34%,43%,38%,32%,47%,27%,33%,38%,50%
4. To what extent do you agree or disagree with the following statements? - I feel certain that my role will be replaced by AI/tech in the next three years,NET: Disagree,48%,37%,38%,39%,46%,40%,38%,40%,34%,36%,40%,44%,39%,35%,40%,39%,37%,37%,33%,53%,37%,40%,31%,45%,47%,37%,44%,34%,39%,23%,42%,35%,33%,44%,37%,43%,40%,28%,51%,42%,41%,47%
4. To what extent do you agree or disagree with the following statements? - Leaders value people over profits,NET: Agree,52%,54%,57%,48%,49%,53%,53%,53%,56%,59%,53%,46%,56%,56%,44%,47%,58%,54%,55%,50%,60%,54%,61%,57%,40%,55%,42%,46%,59%,57%,47%,60%,66%,49%,48%,57%,45%,54%,58%,51%,51%,71%
