Question,Response,age_18-24,age_25-34,age_35-44,age_45-54,gender_female,gender_male,region_the_emirate_of_the_makkah_province_(mecca_region),region_the_emirate_of_the_eastern_province,region_the_emirate_of_the_riyadh_region,region_abu_dhabi,region_dubai,region_sharjah,employment_status_full_time,employment_status_part_time,employment_status_self_employed,org_size_fewer_than_10,org_size_10_to_49,org_size_50_to_99,org_size_100_to_249,org_size_250_to_499,org_size_500_to_999,org_size_1000_or_more,role_permanent,role_part_time_PAYE,role_contract_interim,role_freelance,sector_business_administration_support_services,sector_technology,sector_construction,sector_education,sector_financial_services,sector_government,sector_healthcare_life_sciences,sector_manufacturing_industrial,sector_real_estate_property_services,sector_telecommunications,sector_wholesale_distribution,sector_other,job_level_CEO,job_level_senior_executive,job_level_senior_leader,job_level_mid_level_leader,job_level_first_level_supervisor_manager,job_level_individual_contributor_non_leader,relationship_status_single,relationship_status_married,education_secondary,education_tertiary,education_undergraduate_degree,education_postgraduate_masters_degree,,
,Hybrid working options,0.18,0.17,0.14,0.12,0.16,0.15,0.2,0.15,0.17,0.14,0.14,0.13,0.16,0.16,0.17,0.19,0.12,0.19,0.16,0.18,0.14,0.14,0.16,0.13,0.15,0.13,0.16,0.15,0.11,0.19,0.19,0.2,0.23,0.12,0.18,0.11,0.09,0.17,0.16,0.19,0.18,0.12,0.14,0.18,0.15,0.16,0.09,0.12,0.17,0.16,,
,Short commute to office,0.08,0.16,0.17,0.19,0.15,0.16,0.11,0.09,0.16,0.21,0.18,0.15,0.15,0.14,0.18,0.07,0.12,0.12,0.14,0.24,0.19,0.18,0.16,0.13,0.12,0.21,0.14,0.19,0.14,0.14,0.18,0.14,0.21,0.16,0.23,0.16,0.19,0.06,0.13,0.17,0.19,0.2,0.11,0.12,0.15,0.16,0.16,0.16,0.13,0.22,,
,Colleagues I enjoy working with,0.16,0.17,0.14,0.09,0.17,0.14,0.2,0.13,0.14,0.08,0.18,0.15,0.16,0.12,0.1,0.1,0.15,0.17,0.16,0.18,0.18,0.12,0.17,0.1,0.1,0.08,0.15,0.11,0.11,0.18,0.21,0.1,0.21,0.2,0.23,0.11,0.14,0.16,0.11,0.15,0.15,0.17,0.19,0.09,0.14,0.16,0.1,0.06,0.17,0.15,,
,To be a part of a culture and value system that I respect,0.13,0.16,0.13,0.15,0.17,0.13,0.12,0.08,0.16,0.13,0.16,0.2,0.16,0.12,0.08,0.11,0.1,0.15,0.13,0.17,0.17,0.18,0.16,0.13,0.08,0.11,0.13,0.2,0.13,0.13,0.24,0.1,0.15,0.04,0.21,0.18,0.14,0.15,0.21,0.13,0.12,0.19,0.11,0.11,0.12,0.16,0.14,0.12,0.14,0.16,,
,Status and respect for my position in the company,0.14,0.13,0.15,0.13,0.13,0.14,0.16,0.15,0.07,0.17,0.17,0.13,0.14,0.13,0.13,0.12,0.17,0.11,0.16,0.15,0.17,0.1,0.14,0.11,0.1,0.21,0.18,0.12,0.21,0.1,0.21,0.08,0.19,0.14,0.13,0.11,0.16,0.04,0.11,0.2,0.18,0.12,0.09,0.15,0.17,0.13,0.13,0.18,0.14,0.16,,
,Plentiful opportunities for lateral moves and trying new things,0.18,0.16,0.1,0.16,0.17,0.12,0.18,0.05,0.13,0.13,0.14,0.11,0.13,0.19,0.18,0.27,0.08,0.16,0.16,0.08,0.14,0.12,0.13,0.19,0.15,0.11,0.12,0.15,0.11,0.16,0.04,0.1,0.06,0.14,0.05,0.24,0.12,0.21,0.15,0.15,0.17,0.12,0.11,0.18,0.15,0.13,0.16,0.14,0.15,0.11,,
,Hiring manager I respect and trust,0.17,0.11,0.13,0.13,0.11,0.13,0.11,0.15,0.13,0.13,0.12,0.16,0.13,0.12,0.12,0.07,0.14,0.09,0.12,0.19,0.13,0.13,0.12,0.11,0.17,0.18,0.18,0.13,0.1,0.09,0.09,0.18,0.1,0.12,0.1,0.08,0.07,0.2,0.1,0.18,0.1,0.11,0.12,0.11,0.13,0.12,0.07,0.14,0.12,0.16,,
,Brand is well-known and respected,0.09,0.12,0.12,0.06,0.13,0.1,0.11,0.13,0.12,0.13,0.12,0.08,0.11,0.12,0.13,0.12,0.08,0.1,0.13,0.09,0.13,0.13,0.11,0.12,0.13,0.11,0.13,0.1,0.09,0.13,0.07,0.1,0.23,0.02,0.08,0.11,0.23,0.13,0.15,0.15,0.05,0.11,0.09,0.14,0.11,0.12,0.07,0.1,0.12,0.11,,
,Low number of recent layoffs,0.1,0.1,0.08,0.05,0.08,0.09,0.11,0.12,0.08,0.08,0.08,0.08,0.09,0.06,0.06,0.08,0.08,0.08,0.09,0.1,0.06,0.1,0.09,0.1,0.05,0.05,0.16,0.09,0.07,0.06,0.07,0.06,0.13,0.1,0.13,0.13,0.09,0.11,0.13,0.09,0.07,0.09,0.07,0.08,0.08,0.09,0.09,0.04,0.09,0.07,,
,Other (please specify),,0.01,,,0,0,0.01,,0.01,,,,,0.01,0.03,,0.01,,,,,0.01,0,0.01,,,,,,,,,,,,,,0.04,0.01,,,,0.01,,0.01,0,,,0,0.01,,
2. Factors to Stay at Current Company,Generous salary / compensation,0.22,0.32,0.35,0.35,0.29,0.35,0.41,0.22,0.32,0.3,0.36,0.3,0.34,0.25,0.33,0.27,0.35,0.34,0.32,0.28,0.36,0.35,0.34,0.25,0.4,0.29,0.26,0.28,0.36,0.34,0.35,0.41,0.31,0.31,0.51,0.29,0.3,0.3,0.35,0.27,0.2,0.36,0.39,0.38,0.31,0.34,0.2,0.27,0.36,0.3,,
,Total flexibility of working hours,0.28,0.33,0.25,0.24,0.34,0.26,0.31,0.26,0.32,0.29,0.27,0.25,0.29,0.29,0.28,0.32,0.29,0.32,0.29,0.23,0.3,0.3,0.28,0.29,0.42,0.26,0.33,0.28,0.26,0.27,0.22,0.37,0.35,0.31,0.28,0.26,0.16,0.35,0.31,0.21,0.28,0.3,0.27,0.44,0.32,0.29,0.3,0.27,0.3,0.28,,
,Manager I respect and trust,0.22,0.26,0.31,0.39,0.29,0.29,0.3,0.35,0.31,0.28,0.28,0.21,0.31,0.24,0.23,0.3,0.3,0.25,0.25,0.29,0.35,0.31,0.32,0.18,0.27,0.21,0.22,0.23,0.23,0.36,0.24,0.31,0.52,0.41,0.51,0.26,0.21,0.24,0.22,0.26,0.25,0.33,0.35,0.29,0.27,0.3,0.24,0.24,0.31,0.29,,
,Excellent learning and development opportunities,0.23,0.27,0.28,0.26,0.31,0.25,0.26,0.27,0.26,0.33,0.24,0.21,0.27,0.24,0.31,0.25,0.22,0.22,0.24,0.3,0.32,0.32,0.29,0.21,0.18,0.29,0.18,0.25,0.26,0.32,0.28,0.24,0.38,0.31,0.38,0.11,0.33,0.21,0.3,0.24,0.25,0.26,0.28,0.28,0.23,0.29,0.17,0.25,0.29,0.24,,
,Full-time remote working,0.19,0.27,0.25,0.33,0.28,0.25,0.27,0.23,0.23,0.26,0.27,0.41,0.25,0.37,0.21,0.25,0.26,0.21,0.24,0.27,0.3,0.3,0.25,0.31,0.23,0.34,0.21,0.28,0.32,0.31,0.18,0.25,0.35,0.27,0.18,0.24,0.23,0.23,0.23,0.25,0.27,0.28,0.23,0.32,0.25,0.27,0.23,0.2,0.27,0.26,,
,Colleagues I enjoy working with,0.18,0.25,0.28,0.17,0.24,0.25,0.22,0.31,0.24,0.19,0.26,0.36,0.26,0.26,0.14,0.15,0.18,0.27,0.3,0.32,0.22,0.23,0.26,0.23,0.27,0.13,0.2,0.26,0.39,0.24,0.31,0.24,0.27,0.22,0.13,0.05,0.19,0.21,0.15,0.24,0.22,0.28,0.28,0.27,0.24,0.26,0.23,0.25,0.25,0.26,,
,High job security (of employment contract),0.14,0.25,0.26,0.24,0.25,0.24,0.29,0.21,0.24,0.26,0.22,0.21,0.25,0.21,0.23,0.22,0.21,0.24,0.28,0.27,0.28,0.22,0.25,0.21,0.3,0.21,0.24,0.18,0.29,0.32,0.31,0.2,0.35,0.2,0.23,0.03,0.35,0.26,0.22,0.18,0.28,0.29,0.24,0.26,0.19,0.26,0.17,0.22,0.25,0.26,,
,Full-time in the office,0.1,0.21,0.25,0.29,0.22,0.22,0.23,0.18,0.21,0.2,0.22,0.36,0.22,0.2,0.23,0.2,0.21,0.19,0.19,0.31,0.25,0.22,0.22,0.23,0.22,0.18,0.16,0.22,0.24,0.21,0.24,0.2,0.38,0.18,0.31,0.18,0.14,0.17,0.2,0.24,0.18,0.24,0.22,0.25,0.18,0.24,0.23,0.2,0.22,0.2,,
,Status and respect for my position in the company,0.15,0.18,0.19,0.23,0.16,0.2,0.17,0.22,0.19,0.17,0.18,0.25,0.21,0.09,0.12,0.1,0.17,0.22,0.2,0.18,0.24,0.18,0.21,0.11,0.22,0.11,0.18,0.13,0.2,0.19,0.24,0.25,0.13,0.31,0.08,0.13,0.19,0.17,0.18,0.22,0.21,0.17,0.19,0.16,0.18,0.19,0.21,0.24,0.18,0.21,,
,Excellent sustainability policies and practices within the company,0.2,0.18,0.17,0.21,0.19,0.18,0.15,0.13,0.21,0.19,0.2,0.21,0.18,0.19,0.21,0.24,0.14,0.15,0.21,0.23,0.19,0.16,0.2,0.15,0.15,0.16,0.11,0.24,0.22,0.16,0.21,0.14,0.25,0.2,0.15,0.18,0.26,0.18,0.22,0.21,0.18,0.17,0.18,0.17,0.17,0.19,0.14,0.12,0.18,0.24,,
,Excellent diversity and inclusion within the company,0.14,0.19,0.21,0.13,0.18,0.19,0.17,0.23,0.16,0.18,0.21,0.2,0.19,0.19,0.14,0.15,0.12,0.17,0.22,0.2,0.24,0.17,0.19,0.19,0.08,0.16,0.2,0.26,0.2,0.14,0.22,0.12,0.08,0.16,0.28,0.13,0.19,0.16,0.14,0.24,0.22,0.18,0.15,0.17,0.19,0.18,0.11,0.04,0.21,0.18,,
,Clear career advancement opportunities and processes,0.26,0.17,0.18,0.18,0.2,0.17,0.2,0.06,0.18,0.16,0.21,0.2,0.18,0.21,0.15,0.13,0.17,0.15,0.17,0.19,0.24,0.2,0.18,0.2,0.15,0.13,0.2,0.19,0.21,0.16,0.25,0.12,0.17,0.18,0.23,0.13,0.21,0.18,0.26,0.16,0.15,0.21,0.16,0.15,0.17,0.19,0.16,0.16,0.18,0.19,,
,To be a part of a culture and value system that I respect,0.11,0.18,0.16,0.18,0.15,0.18,0.14,0.1,0.17,0.21,0.16,0.18,0.17,0.14,0.14,0.13,0.15,0.12,0.18,0.21,0.2,0.16,0.18,0.11,0.17,0.13,0.11,0.16,0.16,0.16,0.28,0.16,0.17,0.16,0.21,0.13,0.07,0.13,0.19,0.21,0.18,0.15,0.16,0.1,0.14,0.18,0.14,0.2,0.15,0.21,,
,Hybrid working options,0.2,0.14,0.18,0.09,0.17,0.14,0.12,0.17,0.15,0.17,0.17,0.15,0.14,0.23,0.19,0.18,0.13,0.13,0.17,0.18,0.16,0.15,0.14,0.23,0.13,0.21,0.2,0.15,0.18,0.15,0.19,0.16,0.17,0.1,0.13,0.18,0.12,0.13,0.14,0.18,0.18,0.16,0.14,0.12,0.14,0.15,0.1,0.16,0.15,0.16,,
,Short commute to office,0.23,0.13,0.15,0.12,0.15,0.14,0.15,0.17,0.12,0.13,0.14,0.13,0.13,0.19,0.17,0.16,0.1,0.15,0.17,0.17,0.1,0.14,0.13,0.19,0.12,0.26,0.21,0.15,0.12,0.12,0.07,0.16,0.15,0.12,0.13,0.08,0.09,0.2,0.12,0.16,0.15,0.18,0.1,0.15,0.15,0.14,0.26,0.18,0.13,0.13,,
,Brand is well known and respected,0.1,0.17,0.13,0.11,0.14,0.14,0.14,0.1,0.2,0.11,0.11,0.15,0.14,0.15,0.15,0.1,0.17,0.13,0.11,0.2,0.15,0.13,0.14,0.15,0.08,0.18,0.2,0.12,0.11,0.2,0.13,0.18,0.19,0.1,0.13,0.16,0.12,0.15,0.11,0.15,0.14,0.17,0.12,0.15,0.1,0.16,0.1,0.14,0.15,0.14,,
,Generous non-financial benefits,0.18,0.12,0.13,0.08,0.11,0.14,0.14,0.09,0.11,0.13,0.14,0.13,0.13,0.11,0.15,0.1,0.12,0.13,0.12,0.16,0.08,0.16,0.13,0.11,0.18,0.18,0.18,0.14,0.14,0.09,0.12,0.14,0.08,0.1,0.08,0.16,0.14,0.18,0.16,0.15,0.15,0.1,0.13,0.09,0.12,0.13,0.11,0.14,0.12,0.15,,
,Low number of recent layoffs,0.11,0.13,0.12,0.11,0.13,0.12,0.14,0.09,0.12,0.12,0.13,0.1,0.13,0.07,0.13,0.09,0.12,0.13,0.15,0.17,0.09,0.09,0.13,0.13,0.05,0.13,0.08,0.12,0.16,0.15,0.13,0.12,0.15,0.12,0.21,0.03,0.16,0.09,0.15,0.12,0.16,0.12,0.1,0.09,0.11,0.13,0.07,0.12,0.12,0.14,,
,Other (please specify),,0,,,,0,0.01,,,,,,,,0.01,,0.01,,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,0,,0,,,,,0,,
3. Factors to Leave Current Company,Low salary / compensation,0.32,0.38,0.44,0.47,0.41,0.41,0.4,0.32,0.42,0.38,0.44,0.46,0.42,0.39,0.33,0.41,0.4,0.43,0.44,0.32,0.43,0.42,0.42,0.32,0.52,0.39,0.32,0.39,0.41,0.49,0.31,0.51,0.4,0.39,0.62,0.32,0.42,0.37,0.32,0.3,0.37,0.45,0.49,0.51,0.34,0.44,0.24,0.33,0.45,0.38,,
,Inflexible working hours policy,0.24,0.28,0.32,0.41,0.28,0.32,0.31,0.37,0.31,0.28,0.3,0.28,0.32,0.28,0.26,0.29,0.36,0.27,0.3,0.36,0.31,0.28,0.32,0.21,0.28,0.45,0.22,0.27,0.31,0.33,0.29,0.22,0.54,0.31,0.41,0.29,0.3,0.33,0.18,0.28,0.32,0.34,0.32,0.38,0.26,0.32,0.24,0.31,0.32,0.29,,
,Personal challenges with colleagues or manager,0.25,0.26,0.34,0.37,0.29,0.31,0.31,0.27,0.32,0.28,0.3,0.25,0.29,0.32,0.35,0.31,0.25,0.25,0.3,0.33,0.31,0.35,0.3,0.24,0.4,0.34,0.27,0.23,0.29,0.32,0.24,0.29,0.42,0.37,0.36,0.26,0.28,0.3,0.24,0.27,0.25,0.27,0.39,0.35,0.29,0.31,0.27,0.27,0.31,0.3,,
,Lack of career advancement opportunities,0.2,0.27,0.31,0.27,0.29,0.28,0.29,0.21,0.26,0.31,0.3,0.25,0.28,0.25,0.31,0.3,0.29,0.25,0.25,0.28,0.25,0.35,0.29,0.27,0.3,0.21,0.31,0.29,0.33,0.28,0.22,0.35,0.29,0.31,0.49,0.24,0.21,0.13,0.24,0.25,0.25,0.33,0.31,0.27,0.27,0.29,0.27,0.24,0.28,0.31,,
,Lack of job security (employment contract),0.23,0.25,0.23,0.27,0.23,0.25,0.22,0.21,0.29,0.24,0.2,0.21,0.25,0.21,0.17,0.14,0.24,0.21,0.26,0.25,0.26,0.26,0.25,0.19,0.25,0.18,0.26,0.24,0.21,0.23,0.31,0.14,0.21,0.31,0.28,0.26,0.21,0.28,0.2,0.25,0.16,0.28,0.28,0.18,0.2,0.25,0.09,0.12,0.26,0.24,,
,Poor company culture or values,0.27,0.22,0.24,0.23,0.23,0.23,0.24,0.26,0.21,0.27,0.23,0.16,0.22,0.27,0.31,0.3,0.28,0.15,0.25,0.26,0.24,0.2,0.23,0.26,0.18,0.21,0.24,0.22,0.23,0.18,0.32,0.2,0.13,0.24,0.28,0.13,0.21,0.23,0.21,0.22,0.25,0.25,0.23,0.26,0.24,0.23,0.19,0.35,0.22,0.27,,
,Full-time in-office attendance is being mandated,0.19,0.23,0.23,0.24,0.24,0.23,0.26,0.19,0.25,0.19,0.23,0.3,0.23,0.22,0.22,0.21,0.25,0.18,0.22,0.3,0.24,0.23,0.24,0.24,0.2,0.16,0.16,0.29,0.29,0.23,0.22,0.29,0.29,0.18,0.28,0.13,0.28,0.23,0.29,0.21,0.22,0.23,0.24,0.21,0.2,0.25,0.21,0.24,0.23,0.25,,
,Long or difficult commute to office,0.19,0.25,0.22,0.2,0.24,0.21,0.2,0.18,0.26,0.22,0.22,0.18,0.22,0.25,0.26,0.25,0.29,0.24,0.23,0.16,0.3,0.15,0.21,0.21,0.27,0.39,0.26,0.15,0.2,0.21,0.26,0.22,0.19,0.16,0.26,0.18,0.14,0.28,0.28,0.23,0.18,0.2,0.23,0.25,0.24,0.23,0.16,0.2,0.24,0.19,,
,High number of recent layoffs,0.18,0.23,0.22,0.21,0.2,0.23,0.17,0.13,0.25,0.26,0.24,0.13,0.23,0.2,0.14,0.13,0.16,0.2,0.24,0.26,0.24,0.25,0.23,0.19,0.18,0.24,0.25,0.26,0.22,0.21,0.21,0.1,0.21,0.39,0.31,0.18,0.23,0.15,0.25,0.19,0.23,0.21,0.23,0.19,0.22,0.22,0.26,0.2,0.22,0.21,,
,Inadequate learning and development opportunities,0.19,0.22,0.22,0.18,0.2,0.22,0.25,0.15,0.23,0.23,0.17,0.23,0.22,0.15,0.26,0.2,0.23,0.15,0.22,0.26,0.18,0.23,0.21,0.21,0.2,0.29,0.18,0.2,0.2,0.23,0.24,0.29,0.29,0.27,0.18,0.18,0.16,0.2,0.28,0.21,0.24,0.18,0.19,0.21,0.22,0.21,0.2,0.24,0.19,0.25,,
,Lack of diversity and inclusion within the company,0.18,0.21,0.2,0.21,0.23,0.2,0.23,0.19,0.2,0.22,0.21,0.3,0.22,0.2,0.15,0.16,0.2,0.25,0.18,0.24,0.24,0.19,0.21,0.18,0.27,0.21,0.19,0.18,0.3,0.19,0.26,0.2,0.33,0.14,0.23,0.18,0.19,0.17,0.21,0.2,0.18,0.25,0.2,0.2,0.21,0.22,0.26,0.16,0.22,0.19,,
,Poor sustainability policies and practices within the company,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.17,0.22,0.17,0.21,0.2,0.2,0.24,0.14,0.22,0.15,0.17,0.19,0.24,0.2,0.22,0.2,0.2,0.17,0.18,0.19,0.25,0.12,0.22,0.22,0.12,0.25,0.08,0.21,0.18,0.33,0.2,0.21,0.22,0.15,0.22,0.19,0.19,0.21,0.2,0.13,0.24,0.21,0.2,,
,Employer will relocate to a different area,0.17,0.21,0.16,0.14,0.21,0.17,0.25,0.21,0.21,0.17,0.13,0.23,0.17,0.23,0.19,0.13,0.21,0.15,0.16,0.2,0.25,0.19,0.19,0.18,0.15,0.18,0.21,0.16,0.21,0.16,0.16,0.29,0.15,0.12,0.21,0.16,0.12,0.26,0.24,0.23,0.11,0.17,0.19,0.17,0.15,0.19,0.19,0.16,0.17,0.24,,
,Inadequate non-financial benefits,0.14,0.15,0.18,0.18,0.17,0.16,0.17,0.14,0.15,0.15,0.16,0.25,0.16,0.15,0.21,0.09,0.17,0.15,0.17,0.17,0.17,0.21,0.15,0.21,0.17,0.18,0.19,0.17,0.13,0.22,0.16,0.16,0.08,0.22,0.15,0.21,0.19,0.15,0.22,0.22,0.18,0.16,0.09,0.18,0.13,0.18,0.17,0.18,0.16,0.14,,
,No allowance for full-time remote working,0.16,0.17,0.15,0.17,0.16,0.16,0.17,0.1,0.14,0.19,0.18,0.11,0.16,0.19,0.17,0.16,0.16,0.14,0.12,0.16,0.2,0.19,0.15,0.19,0.2,0.21,0.19,0.19,0.1,0.15,0.18,0.12,0.15,0.1,0.05,0.24,0.16,0.18,0.15,0.19,0.13,0.16,0.13,0.21,0.18,0.15,0.16,0.16,0.15,0.18,,
,Lack of affordable childcare during working hours,0.13,0.16,0.12,0.07,0.16,0.12,0.14,0.05,0.14,0.15,0.17,0.05,0.13,0.16,0.1,0.09,0.13,0.12,0.19,0.13,0.16,0.09,0.13,0.16,0.1,0.03,0.18,0.11,0.04,0.16,0.16,0.16,0.1,0.16,0.03,0.08,0.16,0.13,0.14,0.16,0.14,0.13,0.13,0.09,0.11,0.14,0.09,0.12,0.13,0.14,,
,Other (please specify),0.01,,,,0,0,0.01,,,,,,0,,,,,,,0.01,,0.01,0,,,,0.01,,,,,,0.02,,,,,,0.01,,0.01,,,,,0,,,0,,,
4_1. The values a company promotes are extremely important to me,Agree,0.75,0.82,0.87,0.82,0.85,0.82,0.86,0.73,0.84,0.88,0.81,0.82,0.83,0.82,0.83,0.85,0.79,0.75,0.8,0.91,0.88,0.87,0.85,0.79,0.75,0.87,0.84,0.82,0.78,0.9,0.9,0.75,0.85,0.78,0.82,0.74,0.86,0.84,0.86,0.87,0.81,0.79,0.85,0.81,0.77,0.85,0.66,0.9,0.82,0.89,,
,Disagree,0.05,0.04,0.03,0.04,0.03,0.05,0.02,0.03,0.05,0.03,0.06,0.03,0.04,0.04,0.04,0.02,0.05,0.06,0.05,0.01,0.02,0.03,0.03,0.06,0.07,0.03,0.05,0.02,0.06,0.03,0.03,0.06,,0.1,0.03,0.03,0.05,0.02,0.02,0.03,0.05,0.05,0.04,0.03,0.05,0.03,0.09,,0.04,0.01,,
4_2. The ability to work flexibly and from wherever I want is critical to my work-life balance,Agree,0.7,0.84,0.84,0.86,0.86,0.81,0.85,0.77,0.86,0.83,0.8,0.89,0.83,0.83,0.85,0.89,0.79,0.78,0.81,0.87,0.86,0.86,0.84,0.82,0.73,0.89,0.8,0.8,0.89,0.8,0.84,0.73,0.83,0.76,0.92,0.89,0.88,0.85,0.87,0.83,0.79,0.83,0.84,0.81,0.77,0.85,0.71,0.84,0.84,0.84,,
,Disagree,0.09,0.04,0.05,0.05,0.04,0.05,0.05,0.08,0.04,0.05,0.06,0.03,0.05,0.05,0.06,0.05,0.11,0.06,0.05,0.02,0.03,0.03,0.04,0.06,0.12,0.03,0.06,0.06,0.01,0.07,0.03,0.14,0.08,0.02,0.08,,0.07,0.06,0.06,0.02,0.09,0.03,0.06,0.05,0.08,0.04,0.11,0.1,0.04,0.05,,
4_3. It is important that a company understands the importance of the benefits that come alongside a salary,Agree,0.66,0.86,0.86,0.87,0.89,0.82,0.87,0.74,0.83,0.86,0.86,0.85,0.85,0.85,0.86,0.87,0.82,0.82,0.78,0.9,0.91,0.86,0.86,0.78,0.8,0.84,0.81,0.87,0.91,0.84,0.82,0.69,0.96,0.8,0.79,0.79,0.86,0.9,0.85,0.87,0.82,0.85,0.84,0.85,0.77,0.87,0.74,0.84,0.86,0.84,,
