"Q3 - When considering the below options, which are most likely to make you leave your current company?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please select the level of importance relating to why you would LEAVE an organization for each of the following statements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       ***[TOP 2 BOX SUMMARY TABLE]***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employer's respect for personal priorities outside of work,73%,77%,74%,79%,73%,67%,46%,74%,79%,76%,79%,73%,76%,76%,72%,66%,65%,74%,76%,71%,64%,77%,70%,68%,67%,72%,73%,75%,74%,74%,72%,66%,66%,68%,74%,79%,75%,76%,74%,71%,75%,70%,77%,69%,72%,77%,73%,74%,74%,69%,68%,74%,74%,70%,67%,74%,64%,71%,77%,78%,76%,74%,73%,70%,70%,73%,75%,70%,65%,73%,69%,71%,73%,77%,73%
Manager I don't trust,72%,77%,75%,67%,73%,69%,60%,63%,73%,65%,78%,68%,71%,72%,73%,72%,70%,69%,72%,73%,72%,75%,68%,70%,69%,70%,70%,72%,73%,71%,74%,60%,66%,72%,72%,71%,73%,77%,72%,73%,72%,70%,77%,69%,62%,73%,75%,82%,70%,68%,68%,73%,75%,69%,69%,77%,67%,68%,70%,73%,72%,72%,71%,72%,70%,74%,72%,73%,71%,73%,71%,72%,72%,71%,71%
Colleagues I work with,71%,73%,70%,73%,69%,72%,63%,69%,64%,71%,74%,66%,71%,71%,72%,69%,67%,68%,71%,71%,68%,73%,69%,66%,68%,69%,70%,72%,71%,71%,69%,60%,60%,73%,72%,73%,71%,74%,73%,73%,69%,69%,74%,69%,67%,71%,77%,68%,65%,68%,68%,68%,71%,68%,67%,72%,65%,68%,73%,73%,74%,71%,70%,68%,68%,71%,72%,66%,70%,67%,68%,72%,71%,73%,70%
Lack of flexible work hours,71%,74%,72%,74%,70%,67%,48%,71%,73%,70%,76%,71%,73%,73%,70%,64%,60%,71%,73%,69%,61%,74%,67%,66%,63%,67%,68%,72%,72%,71%,72%,59%,67%,64%,72%,76%,68%,75%,67%,70%,74%,72%,72%,64%,68%,69%,74%,74%,72%,71%,64%,72%,76%,72%,64%,71%,63%,67%,73%,75%,73%,70%,70%,68%,68%,70%,73%,66%,59%,70%,66%,68%,70%,74%,75%
Commute to office,68%,72%,71%,72%,73%,66%,52%,61%,66%,62%,68%,64%,68%,70%,69%,67%,61%,65%,69%,69%,64%,72%,65%,65%,66%,67%,67%,71%,69%,69%,68%,56%,59%,68%,66%,72%,68%,70%,69%,62%,70%,71%,71%,66%,62%,66%,64%,72%,64%,64%,65%,65%,70%,69%,67%,71%,59%,66%,68%,72%,70%,68%,67%,67%,66%,68%,70%,67%,63%,68%,66%,67%,67%,71%,68%
Poor organizational culture and values,66%,71%,66%,71%,60%,61%,46%,71%,72%,69%,71%,66%,69%,68%,64%,59%,59%,66%,69%,63%,58%,68%,64%,61%,61%,63%,67%,69%,66%,67%,65%,58%,59%,64%,70%,73%,68%,75%,67%,64%,68%,60%,68%,63%,64%,71%,75%,70%,69%,60%,63%,65%,70%,66%,59%,64%,56%,60%,70%,73%,70%,67%,66%,60%,64%,65%,68%,62%,61%,63%,61%,63%,67%,69%,71%
Inadequate learning and development opportunities,66%,70%,66%,77%,62%,58%,35%,73%,79%,73%,67%,68%,71%,70%,63%,52%,48%,70%,71%,61%,49%,67%,65%,62%,62%,65%,67%,69%,64%,67%,61%,62%,59%,66%,69%,76%,70%,73%,65%,62%,69%,62%,65%,63%,68%,58%,71%,74%,68%,61%,55%,63%,71%,69%,58%,63%,59%,60%,72%,77%,73%,68%,66%,57%,62%,64%,69%,58%,50%,64%,60%,60%,66%,72%,69%
"Workplace policy (i.e. in office, from home, hybrid)",66%,70%,67%,78%,62%,61%,42%,67%,70%,66%,65%,64%,69%,69%,64%,56%,53%,66%,69%,63%,53%,68%,64%,60%,60%,64%,65%,70%,65%,67%,61%,56%,62%,64%,70%,76%,68%,71%,62%,65%,74%,67%,60%,60%,66%,61%,68%,74%,66%,66%,61%,59%,69%,68%,57%,60%,54%,63%,72%,77%,72%,67%,66%,58%,63%,63%,69%,59%,57%,61%,59%,61%,66%,72%,69%
Reputation of the organization,65%,71%,61%,78%,58%,54%,47%,75%,75%,79%,64%,66%,67%,66%,63%,58%,61%,67%,67%,62%,57%,65%,64%,61%,63%,64%,64%,67%,63%,65%,62%,55%,61%,64%,68%,76%,66%,68%,64%,65%,69%,56%,64%,61%,64%,54%,63%,65%,55%,61%,62%,62%,73%,63%,59%,61%,59%,60%,74%,77%,73%,66%,65%,55%,60%,57%,69%,59%,57%,62%,59%,59%,66%,70%,67%
Organization not fulfilling purpose and mission,63%,70%,61%,73%,65%,52%,47%,67%,74%,66%,62%,63%,65%,66%,62%,57%,56%,64%,66%,62%,55%,65%,62%,55%,59%,67%,63%,67%,62%,64%,60%,61%,57%,64%,67%,73%,68%,69%,62%,58%,65%,56%,65%,62%,65%,57%,58%,63%,68%,58%,59%,60%,64%,63%,59%,59%,56%,60%,69%,76%,70%,65%,64%,55%,59%,60%,67%,58%,56%,61%,59%,58%,63%,69%,68%
"Poor social responsibility (e.g., societal justice, community outreach) policies and practices",59%,60%,54%,70%,60%,53%,41%,73%,66%,69%,58%,61%,64%,61%,57%,50%,48%,62%,62%,56%,48%,60%,59%,55%,55%,62%,62%,63%,57%,60%,56%,54%,56%,61%,64%,68%,64%,63%,59%,55%,64%,52%,60%,54%,65%,55%,58%,53%,59%,57%,52%,56%,61%,63%,54%,54%,51%,54%,66%,72%,67%,60%,59%,50%,55%,55%,63%,49%,44%,55%,53%,54%,60%,65%,67%
Non-inclusive policies and practices,58%,62%,58%,70%,53%,47%,34%,67%,63%,62%,62%,63%,63%,60%,54%,47%,45%,63%,61%,53%,46%,60%,56%,52%,54%,58%,60%,62%,56%,58%,57%,50%,55%,57%,64%,68%,61%,67%,57%,55%,62%,50%,56%,51%,66%,58%,53%,53%,64%,54%,52%,56%,61%,60%,50%,55%,50%,53%,64%,71%,65%,57%,59%,49%,55%,53%,61%,48%,47%,56%,51%,52%,58%,64%,60%
Poor environmental sustainability policies and practices,55%,59%,52%,69%,51%,46%,37%,66%,64%,61%,55%,58%,60%,58%,51%,45%,43%,60%,59%,50%,43%,55%,55%,52%,49%,59%,58%,60%,52%,56%,52%,50%,52%,57%,60%,67%,61%,65%,53%,51%,58%,45%,52%,51%,57%,38%,53%,51%,55%,51%,50%,52%,64%,58%,49%,54%,44%,52%,65%,70%,63%,57%,56%,44%,51%,49%,60%,46%,43%,52%,50%,48%,55%,62%,63%
"Use of advanced technologies (e.g., AI, automation)",50%,53%,42%,74%,45%,46%,29%,61%,59%,64%,44%,52%,56%,54%,47%,36%,40%,54%,55%,45%,34%,47%,53%,43%,43%,58%,53%,57%,47%,52%,42%,46%,50%,53%,59%,68%,54%,57%,47%,47%,56%,39%,42%,48%,64%,41%,41%,40%,45%,46%,45%,44%,55%,57%,45%,40%,42%,45%,62%,70%,62%,52%,51%,36%,46%,39%,57%,39%,35%,46%,42%,43%,51%,59%,58%
Visa sponsorship / immigration assistance from an employer,45%,46%,35%,67%,40%,40%,31%,71%,52%,62%,37%,49%,52%,49%,41%,31%,28%,51%,50%,40%,27%,42%,48%,40%,43%,48%,50%,52%,41%,47%,38%,43%,41%,52%,51%,62%,51%,50%,42%,40%,50%,32%,39%,44%,57%,23%,40%,32%,42%,42%,44%,39%,48%,50%,38%,40%,37%,40%,60%,64%,55%,48%,48%,30%,42%,35%,51%,33%,33%,40%,37%,38%,46%,53%,54%
Other,4%,5%,3%,7%,3%,3%,4%,5%,5%,4%,2%,6%,4%,4%,4%,4%,3%,5%,4%,4%,3%,4%,4%,7%,6%,5%,4%,4%,3%,4%,5%,11%,8%,7%,8%,4%,5%,3%,4%,3%,4%,3%,4%,2%,4%,5%,5%,4%,1%,3%,5%,3%,4%,4%,3%,5%,4%,4%,6%,3%,4%,4%,4%,4%,5%,3%,4%,3%,4%,4%,5%,4%,4%,3%,4%
